"","YrBP","Abies","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Cupressaceae","Fraxinus","Ostrya","Pinus","Poaceae","Quercus","Thalictrum"
"patz141",140000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz142",141000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz143",142000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz144",143000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz145",144000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz146",145000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz147",146000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz148",147000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz149",148000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz150",149000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz151",150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
