"","YrBP","Abies","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteraceae","Brassicaceae","Camassia","Caprifoliaceae","Caryophyllaceae","Cupressaceae","Ericaceae","Fabaceae","Gentianaceae","Lysichiton","Malvaceae","Myrica","Onagraceae","Picea","Pinus","Poaceae","Polemoniaceae","Polygonaceae","Ranunculaceae","Rosaceae","Rubiaceae","Salix","Sanguisorba","Tsuga.heterophylla","Tsuga.mertensiana"
"kala65",64000,0.0610143567636097,0.0117683113297368,0.000898277292711164,0.0446732086426683,0.0108711260400072,0.0480853249473161,0.0112796724701585,0.000856282935516953,0.000970602616099088,0.00197288159358976,0.00256199362379074,0.015893401851781,0.000155083956276498,0,0.0625006439199698,0.00447017766592834,0.026338451536497,0,0.1803942413705,0.132897713950377,0.156949401528039,0,0.0182526077154034,0.00637858427418246,0.000377965577075161,0.0146324453108804,0.00217998992188871,0.0148752636829187,0.147647680607318,0.0211043094417972
"kala66",65000,0.0517888392423924,0.0106477110261752,0.000229151735114977,0.0434460647143467,0.0117542538289903,0.0488769599113445,0.0111196133647693,0.000961812735828102,0.00143536976394978,0.00252260115851834,0.00396201313341283,0.0177614989057331,0,0,0.0565015948116999,0.00319459135781339,0.0295575223542536,0,0.196294456192263,0.146274328044366,0.151483322257596,0,0.0187101075584178,0.00564314117507803,0.000145127411782929,0.0129924145529291,0.00164829158374543,0.0132502635523621,0.140577947121132,0.0192210028704275
"kala67",66000,0.0433205654360637,0.00964245023949803,0,0.0392660054671919,0.0131298079037179,0.0507980752130266,0.0111476892087907,0.000884893902131094,0.00175760698079324,0.00303523794573954,0.00600890299234903,0.0194087005332427,0,0,0.0487596846308633,0.00205655279418968,0.0317284480804766,0,0.204683323188183,0.165900133748608,0.153277587630643,0,0.0161482086554305,0.00520966599025864,0,0.0115698855480824,0.00104583599448082,0.0117260670381996,0.132446384563736,0.0170482865329185
"kala68",67000,0.0371688375250347,0.00862000037905304,0,0.0358959377670548,0.0135495937575383,0.0518963659704144,0.0109653440440135,0.000828938352468324,0.00223746948048051,0.00379924931343835,0.00781821723016059,0.0230245796879134,0,0,0.040606182333048,0.000896163798929402,0.0335561295330011,0,0.211824307234675,0.174045572049069,0.159007598751122,0,0.0142239286497215,0.0045611745422652,0,0.0103883898049673,0.000286314837328551,0.0107586479746769,0.12865234358216,0.0153887135603608
"kala69",68000,0.0306768570710249,0.0083595026357295,0,0.0315352176346784,0.0151017295497843,0.0523393729721115,0.0108586023084116,0.000760394509937753,0.0025680630872966,0.00426715802756088,0.00920586840889484,0.0254683638622092,0,0,0.0322696150353555,4.04204292344654e-05,0.0349187839420798,0,0.214919513522046,0.188608527484943,0.167623702246137,0,0.0125466370250901,0.00389779260212133,0,0.00986294732536584,0,0.01105443667159,0.119168781432647,0.0139477123062411
"kala70",69000,0.0229009897915861,0.00804044305554131,0,0.0252481332981238,0.0165258216734413,0.0548516710884512,0.0109024697396108,0.000452696590607155,0.0029407028440275,0.00462173220992891,0.0112158000037758,0.0282142032552616,0,0,0.0218392587256963,0,0.0371501764852348,0,0.212985059072812,0.206960191747559,0.182172096973336,0,0.00828094330224916,0.00299732754536767,0,0.00902856277151847,0,0.0111831607596084,0.10945881263312,0.0120297464896166
"kala71",70000,0.0189840577299298,0.00749725163300266,0,0.0197004288571982,0.0155593061279458,0.0569001430567626,0.0112872515232519,0,0.00310746099796758,0.00541814399879023,0.0139386741912412,0.0331742527510283,0,0,0.0165823861469151,0,0.0385644656738447,0,0.204045832476361,0.204487123486233,0.203021215415146,0,0,0.0025530885683039,0,0.00790831810573433,0,0.0119060580214372,0.114938164450036,0.0104263769967094
"kala72",71000,0.0174562779717854,0.00486800845436324,0,0.02659505933395,0.00750690237341967,0.0532131600638298,0.00993610052929386,0,0.0044151251359852,0.00780444337573235,0.014627120746531,0.0503512207685785,0,0,0.0146653303535307,0,0.046307167260407,0,0.209619259530527,0.134674822989208,0.22998305856198,0,0,0,0,0.00587360308063521,0,0.0115590292989516,0.13900665753839,0.0115376532497687
"kala73",72000,0,0,0,0.0651999438120805,0,0.020825569557047,0.00301705562416107,0,0.00301705562416107,0.00890425696644295,0,0.0626236175771812,0,0,0.011921312590604,0,0.133270032342282,0,0.160570442536913,0.038634082818792,0.361176014536913,0,0,0,0,0,0,0.00890425696644295,0.104127846114094,0.0178085139328859
"kala74",73000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kala75",74000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
