depth,calyrBP ,d18Oforams-b,sst-uk37,uk37,notes
5187,488688.5,,9.675,0.368,1020C 6H-4 25
5189,488918,3.785,,,1020C 6H-4 27
5212,491557.4,,10.1,0.382,1020C 6H-4 50
5229,493508.2,3.63,,,1020C 6H-4 67
5237,494426.2,,10.204,0.386,1020C 6H-4 75
5249,495803.3,3.8,,,1020C 6H-4 87
5262,497295.1,,9.931,0.377,1020C 6H-4 100
5287,500163.9,,9.403,0.359,1020C 6H-4 125
5289,500393.4,3.79,,,1020C 6H-4 127
5309,502688.5,3.86,,,1020C 6H-4 147
5312,503032.8,,9.279,0.354,1020C 6H-5 0
5337,505901.6,,7.737,0.302,1020C 6H-5 25
5349,507278.7,4.03,,,1020C* 6H-5 37
5362,508770.5,,8.892,0.341,1020C 6H-5 50
5369,509573.8,4.07,,,1020C* 6H-5 57
5387,511639.3,,10.038,0.38,1020C 6H-5 75
5409,514163.9,4.28,,,1020C* 6H-5 97
5412,514508.2,,9.637,0.367,1020C 6H-5 100
5429,516459,4.15,,,1020C* 6H-5 117
5437,517377,,10.03,0.38,1020C 6H-5 125
5462,520245.9,,10.132,0.383,1020C 6H-6 0
5469,521049.2,3.97,,,1020C 6H-6 7
5487,523132.5,,8.387,0.324,1020C 6H-6 25
5489,523397.5,3.895,,,1020C 6H-6 27
5512,526445,,10.062,0.381,1020C 6H-6 50
5529,528697.5,4.03,,,1020C 6H-6 67
5537,529757.5,,9.451,0.36,1020C 6H-6 75
5549,531347.5,4.105,,,1020C 6H-6 87
5562,533070,,7.048,0.279,1020C 6H-6 100
5587,536382.5,,7.19,0.283,1020C 6H-6 125
5589,536647.5,4.41,,,1020C 6H-6 127
5609,539112.4,4.485,,,1020C 6H-6 147
5612,539324.7,,8.042,0.312,1020C 6H-7 0
5615,539537.1,4.475,,,1020D 6H-3 37
5628,540457.3,,8.609,0.332,1020D 6H-3 50
5635,540952.8,4.425,,,1020D 6H-3 57
5637,541094.4,,7.976,0.31,1020C 6H-7 25
5649,541943.8,4.44,,,1020C 6H-7 37
5652,542156.2,,8.666,0.334,1020D 6H-3 74
5655,542368.5,4.435,,,1020D 6H-3 77
5662,542864,,7.507,0.294,1020C 6H-7 50
5669,543359.6,4.425,,,1020C 6H-7 57
